timestamp,symbol,event,side,entry,equity
2025-09-26T10:20:00+00:00,QNT/USDT,ENTRY,long,91.598316,9997.708836375143
2025-09-26T10:50:00+00:00,QNT/USDT,EXIT,long,91.598316,88.24,-204.50232724971517,9793.206509125428
2025-09-26T11:00:00+00:00,SNX/USDT,ENTRY,long,0.925185,9790.883980901806
2025-09-26T11:05:00+00:00,SNX/USDT,EXIT,long,0.925185,0.911,-93.63235311472792,9697.251627787078
2025-09-26T11:55:00+00:00,SNX/USDT,ENTRY,long,0.980196,9696.266581177766
2025-09-26T11:55:00+00:00,TRX/USDT,ENTRY,long,0.33476694,9682.357234362957
2025-09-26T12:15:00+00:00,QNT/USDT,ENTRY,long,89.887974,9679.524568190438
2025-09-26T12:30:00+00:00,SNX/USDT,EXIT,long,0.980196,0.929,-130.54201667021417,9548.982551520225
2025-09-26T13:00:00+00:00,DOT/USDT,ENTRY,long,3.8587716,9544.986721940419
2025-09-26T13:00:00+00:00,LINK/USDT,ENTRY,long,20.404079999999997,9541.130917690301
2025-09-26T13:00:00+00:00,LTC/USDT,ENTRY,long,102.72054,9535.940349442782
2025-09-26T13:00:00+00:00,UNI/USDT,ENTRY,long,7.45149,9531.102016706074
2025-09-26T13:00:00+00:00,BCH/USDT,ENTRY,long,543.0085799999999,9521.7103846215
2025-09-26T13:00:00+00:00,ATOM/USDT,ENTRY,long,4.0248048,9516.668279306099
2025-09-26T13:00:00+00:00,ETC/USDT,ENTRY,long,18.043608,9512.143628258753
2025-09-26T13:00:00+00:00,XLM/USDT,ENTRY,long,0.35277054,9507.86252450144
2025-09-26T14:20:00+00:00,QNT/USDT,EXIT,long,89.887974,89.74,-17.318539698294792,9490.543984803144
2025-09-26T14:20:00+00:00,MANA/USDT,ENTRY,long,0.28065612,9483.57153803675
2025-09-26T14:20:00+00:00,TRX/USDT,EXIT,long,0.33476694,0.3348,-24.386013953312414,9459.185524083437
2025-09-26T14:20:00+00:00,SHIB/USDT,ENTRY,long,1.170234e-05,9449.896823311823
2025-09-26T14:40:00+00:00,SHIB/USDT,EXIT,long,1.170234e-05,1.166e-05,-102.56194592365262,9347.33487738817
2025-09-26T14:40:00+00:00,UNI/USDT,EXIT,long,7.45149,7.427,-49.414815968978985,9297.92006141919
2025-09-26T14:40:00+00:00,BCH/USDT,EXIT,long,543.0085799999999,541.4,-88.30863272773368,9209.611428691456
2025-09-26T14:40:00+00:00,XLM/USDT,EXIT,long,0.35277054,0.3512,-56.19200135408628,9153.41942733737
2025-09-26T14:40:00+00:00,APT/USDT,ENTRY,long,3.9717942,9144.817753577241
2025-09-26T14:40:00+00:00,FIL/USDT,ENTRY,long,2.140428,9135.896793817103
2025-09-26T14:40:00+00:00,LDO/USDT,ENTRY,long,1.06681332,9129.59833157411
2025-09-26T14:40:00+00:00,ARB/USDT,ENTRY,long,0.41298258,9124.55654014187
2025-09-26T14:50:00+00:00,ATOM/USDT,EXIT,long,4.0248048,4.02,-25.126317204759864,9099.43022293711
2025-09-26T14:50:00+00:00,APT/USDT,EXIT,long,3.9717942,3.958,-91.8583654581811,9007.571857478928
2025-09-26T14:50:00+00:00,LDO/USDT,EXIT,long,1.06681332,1.063,-68.85898170240057,8938.712875776528
2025-09-26T14:50:00+00:00,AAVE/USDT,ENTRY,long,263.132616,8932.855800040925
2025-09-26T14:50:00+00:00,OP/USDT,ENTRY,long,0.64982994,8925.548268675291
2025-09-26T14:50:00+00:00,VET/USDT,ENTRY,long,0.021664331999999998,8916.385441387765
2025-09-26T14:50:00+00:00,MANA/USDT,EXIT,long,0.28065612,0.279,-116.76279801448736,8799.622643373277
2025-09-26T14:50:00+00:00,EGLD/USDT,ENTRY,long,12.372473999999999,8792.173154014401
